"Data","Variacao"
"Jan/2010",0.63
"Fev/2010",1.18
"Mar/2010",0.94
"Abr/2010",0.77
"Mai/2010",1.19
"Jun/2010",0.85
"Jul/2010",0.15
"Ago/2010",0.77
"Set/2010",1.15
"Out/2010",1.01
"Nov/2010",1.45
"Dez/2010",0.69
"Jan/2011",0.79
"Fev/2011",1.00
"Mar/2011",0.62
"Abr/2011",0.45
"Mai/2011",0.43
"Jun/2011",-0.18
"Jul/2011",-0.12
"Ago/2011",0.44
"Set/2011",0.65
"Out/2011",0.53
"Nov/2011",0.50
"Dez/2011",-0.12
"Jan/2012",0.25
"Fev/2012",-0.06
"Mar/2012",0.43
"Abr/2012",0.85
"Mai/2012",1.02
"Jun/2012",0.66
"Jul/2012",1.34
"Ago/2012",1.43
"Set/2012",0.97
"Out/2012",0.02
"Nov/2012",-0.03
"Dez/2012",0.68
"Jan/2013",0.34
"Fev/2013",0.29
"Mar/2013",0.21
"Abr/2013",0.15
"Mai/2013",0.00
"Jun/2013",0.75
"Jul/2013",0.26
"Ago/2013",0.15
"Set/2013",1.50
"Out/2013",0.86
"Nov/2013",0.29
"Dez/2013",0.60
"Jan/2014",0.48
"Fev/2014",0.38
"Mar/2014",1.67
"Abr/2014",0.78
"Mai/2014",-0.13
"Jun/2014",-0.74
"Jul/2014",-0.61
"Ago/2014",-0.27
"Set/2014",0.20
"Out/2014",0.28
"Nov/2014",0.98
"Dez/2014",0.62
"Jan/2015",0.76
"Fev/2015",0.27
"Mar/2015",0.98
"Abr/2015",1.17
"Mai/2015",0.41
"Jun/2015",0.67
"Jul/2015",0.69
"Ago/2015",0.28
"Set/2015",0.95
"Out/2015",1.89
"Nov/2015",1.52
"Dez/2015",0.49
"Jan/2016",1.14
"Fev/2016",1.29
"Mar/2016",0.51
"Abr/2016",0.33
"Mai/2016",0.82
"Jun/2016",1.69
"Jul/2016",0.18
"Ago/2016",0.15
"Set/2016",0.20
"Out/2016",0.16
"Nov/2016",-0.03
"Dez/2016",0.54
"Jan/2017",0.64
"Fev/2017",0.08
"Mar/2017",0.01
"Abr/2017",-1.10
"Mai/2017",-0.93
"Jun/2017",-0.67
"Jul/2017",-0.72
"Ago/2017",0.10
"Set/2017",0.47
"Out/2017",0.20
"Nov/2017",0.52
"Dez/2017",0.89
"Jan/2018",0.76
"Fev/2018",0.07
"Mar/2018",0.64
"Abr/2018",0.57
"Mai/2018",1.38
"Jun/2018",1.87
"Jul/2018",0.51
"Ago/2018",0.70
"Set/2018",1.52
"Out/2018",0.89
"Nov/2018",-0.49
"Dez/2018",-1.08
"Jan/2019",0.01
"Fev/2019",0.88
"Mar/2019",1.26
"Abr/2019",0.92
"Mai/2019",0.45
"Jun/2019",0.80
"Jul/2019",0.40
"Ago/2019",-0.67
"Set/2019",-0.01
"Out/2019",0.68
"Nov/2019",0.30
"Dez/2019",2.09
"Jan/2020",0.48
"Fev/2020",-0.04
"Mar/2020",1.24
"Abr/2020",0.80
"Mai/2020",0.28
"Jun/2020",1.56
"Jul/2020",2.23
"Ago/2020",2.74
"Set/2020",4.34
"Out/2020",3.23
"Nov/2020",3.28
"Dez/2020",0.96
"Jan/2021",2.58
"Fev/2021",2.53
"Mar/2021",2.94
"Abr/2021",1.51
"Mai/2021",4.10
"Jun/2021",0.60
"Jul/2021",0.78
"Ago/2021",0.66
"Set/2021",-0.64
"Out/2021",0.64
"Nov/2021",0.02
"Dez/2021",0.87
"Jan/2022",1.82
"Fev/2022",1.83
"Mar/2022",1.74
"Abr/2022",1.41
"Mai/2022",0.52
"Jun/2022",0.59
"Jul/2022",0.21
"Ago/2022",-0.70
"Set/2022",-0.95
"Out/2022",-0.97
"Nov/2022",-0.56
"Dez/2022",0.45
"Jan/2023",0.21
"Fev/2023",-0.06
"Mar/2023",0.05
"Abr/2023",-0.95
"Mai/2023",-1.84
"Jun/2023",-1.93
"Jul/2023",-0.72
"Ago/2023",-0.14
"Set/2023",0.37
"Out/2023",0.50
"Nov/2023",0.59
"Dez/2023",0.74
"Jan/2024",0.27
"Fev/2024",-0.52
"Mar/2024",-0.47
"Abr/2024",0.31
"Mai/2024",0.89
"Jun/2024",0.81
"Jul/2024",0.61
"Ago/2024",0.29
"Set/2024",0.62
"Out/2024",1.52
"Nov/2024",1.30
"Dez/2024",0.94
